respondent_id,submitted_at,segment,travel_style,current_method,trips_per_year,avg_budget,main_pain,pain_score,must_have_features,unused_features,pricing_preference,join_intent,reason_for_intent,contact_available
R001,2026-06-28 09:12,20대 직장인 여성,휴양/힐링,네이버 블로그,3,80만원,"혼자라 안전이 걱정된다; 밤에 다니기 무섭다",5,"긴급 SOS; 실시간 위치 공유; 안전 숙소 큐레이션","그룹 패키지; 커뮤니티 피드",건당 결제,5,"안전만 보장되면 혼자 여행을 더 자주 다닐 것 같다",Yes
R002,2026-06-28 09:18,프리랜서 디자이너,사진/감성,인스타그램,4,120만원,"사진 찍어줄 사람이 없다",4,"사진 스팟 추천; 촬영 도움 매칭; 감성 일정 추천","항공 마일리지 관리; 가계부",건당 결제,4,"인생샷 남기는 게 어려워서 도움 받을 수 있으면 쓴다",Yes
R003,2026-06-28 09:27,대학생,액티비티,유튜브,2,50만원,"1인 추가요금이 부담된다",3,"1인 전용 숙소; 예산 관리; 액티비티 예약","현지 가이드 연결; 비즈니스 라운지",무료,3,"학생이라 무료면 써보겠지만 지금도 큰 불편은 없다",No
R004,2026-06-28 09:36,디지털 노마드,문화/역사,구글맵 + 블로그,6,150만원,"정보가 너무 흩어져 있다; 신뢰도가 낮다",5,"검증된 현지 정보; 자동 일정 추천; 오프라인 지도","그룹 패키지; 대규모 커뮤니티",월 구독,5,"자주 다녀서 정보 모으는 시간을 줄여주면 바로 결제한다",Yes
R005,2026-06-28 09:44,30대 직장인 여성,미식 탐방,마이리얼트립,3,100만원,"혼자 식당 가기가 부담된다",4,"1인 식당 추천; 동행 매칭; 예약 대행","항공권 비교; 마일리지",건당 결제,4,"혼밥 가능한 맛집만 잘 골라줘도 가치 있다",Yes
R006,2026-06-28 09:51,20대 직장인 남성,자연/트레킹,트리플 앱,4,90만원,"현지에서 길 찾기가 어렵다",4,"오프라인 지도; 코스 추천; 긴급 SOS","커뮤니티 피드; 쇼핑 큐레이션",무료,4,"트레킹 코스와 안전 정보가 정확하면 관심 있다",Yes
R007,2026-06-28 10:03,40대 직장인,휴양/힐링,여행 카페(네이버),2,130만원,"일정 짜기가 번거롭다",4,"자동 일정 추천; 1인 전용 숙소; 예산 관리","동행 매칭; 액티비티 예약",건당 결제,4,"바빠서 일정 자동으로 짜주면 시간을 아낄 수 있다",Yes
R008,2026-06-28 10:11,취준생,사진/감성,인스타그램,1,40만원,"외로움; 같이 즐길 사람이 없다",5,"동행 매칭; 안전한 만남 인증; 채팅","비즈니스 기능; 가계부",무료,5,"안전하게 동행을 찾을 수 있으면 꼭 써보고 싶다",Yes
R009,2026-06-28 10:23,대학생,쇼핑,유튜브,2,60만원,"예산을 넘기기 쉽다",3,"예산 관리; 환율 알림; 1인 숙소","현지 가이드; SOS",무료,3,"돈 관리만 잘 되면 써볼 것 같다",No
R010,2026-06-28 10:37,30대 주부,문화/역사,네이버 블로그,2,110만원,"안전이 걱정된다; 가족이 걱정한다",5,"실시간 위치 공유; 긴급 SOS; 안전 숙소","그룹 패키지; 커뮤니티 피드",월 구독,5,"가족에게 위치를 공유할 수 있으면 안심하고 떠난다",Yes
R011,2026-06-28 10:45,자영업자,미식 탐방,직접 검색,3,100만원,"혼자 식당 가기 부담; 메뉴 정보 부족",4,"1인 식당 추천; 메뉴 번역; 예약 대행","마일리지; 커뮤니티",건당 결제,3,"새 앱 배우기는 귀찮지만 혼밥 정보는 끌린다",No
R012,2026-06-28 10:56,50대 시니어,휴양/힐링,여행 카페(네이버),2,140만원,"앱 사용이 복잡하다; 길 찾기 어렵다",4,"쉬운 인터페이스; 오프라인 지도; SOS","동행 채팅; 사진 매칭",건당 결제,3,"조작이 단순하면 써보겠지만 어려우면 포기한다",No
R013,2026-06-28 11:09,20대 직장인 여성,액티비티,마이리얼트립,4,95만원,"1인 액티비티 예약이 어렵다",4,"1인 액티비티 예약; 동행 매칭; SOS","가계부; 마일리지",건당 결제,4,"혼자도 참여 가능한 투어를 모아주면 좋다",Yes
R014,2026-06-28 11:17,프리랜서 작가,문화/역사,구글맵 + 블로그,3,85만원,"정보 신뢰도가 낮다; 광고성 글이 많다",4,"검증된 후기; 자동 일정; 오프라인 지도","그룹 패키지; 쇼핑",무료,4,"진짜 후기만 모아주면 정보 찾는 시간을 아낀다",Yes
R015,2026-06-28 11:25,디지털 노마드,자연/트레킹,트립어드바이저,6,160만원,"장기 체류 1인 숙소 찾기 어렵다",4,"장기 숙소 큐레이션; 예산 관리; 와이파이 정보","항공 마일리지; 커뮤니티 피드",월 구독,5,"한 달 살기용 숙소만 잘 골라줘도 구독한다",Yes
R016,2026-06-28 11:38,30대 직장인 남성,액티비티,유튜브,3,100만원,"외로움; 액티비티를 같이 할 사람이 없다",4,"동행 매칭; 안전 인증; 액티비티 예약","가계부; 쇼핑 큐레이션",건당 결제,4,"같이 즐길 동행을 안전하게 찾으면 만족도가 높을 듯",Yes
R017,2026-06-28 11:49,대학생,미식 탐방,인스타그램,2,55만원,"혼밥 부담; 1인 메뉴가 비싸다",3,"1인 식당 추천; 예산 관리; 쿠폰","SOS; 현지 가이드",무료,3,"혼밥 정보랑 할인되면 써볼 것 같다",No
R018,2026-06-28 12:02,40대 직장인,휴양/힐링,마이리얼트립,2,150만원,"일정 짜는 시간이 부족하다",3,"자동 일정 추천; 프리미엄 숙소; 컨시어지","동행 매칭; 커뮤니티 피드",월 구독,4,"돈을 더 내더라도 알아서 다 짜주면 편하다",Yes
R019,2026-06-28 12:14,20대 직장인 여성,사진/감성,인스타그램,4,90만원,"안전 걱정; 사진 찍어줄 사람 없음",5,"긴급 SOS; 사진 스팟; 촬영 도움 매칭","그룹 패키지; 마일리지",건당 결제,5,"안전과 인생샷 둘 다 해결되면 무조건 쓴다",Yes
R020,2026-06-28 12:26,프리랜서 개발자,자연/트레킹,구글맵 + 블로그,3,80만원,"현지 길 찾기; 오프라인에서 막힘",4,"오프라인 지도; 코스 추천; SOS","동행 채팅; 쇼핑",무료,4,"인터넷 없어도 길 안내가 되면 관심 있다",Yes
R021,2026-06-28 12:39,30대 직장인 여성,쇼핑,트리플 앱,3,110만원,"정보가 흩어져 정리가 안 된다",3,"통합 일정판; 예산 관리; 지도 저장","SOS; 현지 가이드",건당 결제,3,"여기저기 흩어진 걸 한곳에 모아주면 좋다",No
R022,2026-06-28 12:51,대학생,액티비티,유튜브,2,50만원,"1인 추가요금; 예산 초과",3,"1인 전용 숙소; 예산 관리; 액티비티 할인","컨시어지; 마일리지",무료,3,"학생 예산에 맞는 옵션만 보여주면 써본다",No
R023,2026-06-28 13:03,자영업자,미식 탐방,네이버 블로그,2,120만원,"혼밥 부담; 안전 걱정",4,"1인 식당 추천; 안전 숙소; SOS","커뮤니티 피드; 동행 채팅",건당 결제,4,"혼자 다녀도 편하고 안전하면 시간 내서 떠난다",Yes
R024,2026-06-28 13:16,50대 시니어,문화/역사,여행 카페(네이버),3,150만원,"앱이 복잡하다; 정보가 너무 많다",4,"쉬운 추천; 큰 글씨; 컨시어지","동행 매칭; 사진 스팟",건당 결제,3,"단순하고 추천만 깔끔하면 써보겠다",No
R025,2026-06-28 13:28,디지털 노마드,사진/감성,트립어드바이저,6,140만원,"좋은 사진 스팟과 시간대를 모른다",4,"사진 스팟+시간대; 자동 일정; 촬영 매칭","그룹 패키지; 가계부",월 구독,4,"스팟과 골든타임 정보가 좋으면 구독 가치가 있다",Yes
R026,2026-06-28 13:41,20대 직장인 남성,자연/트레킹,트리플 앱,3,85만원,"외로움; 비상시 도움받을 곳이 없다",4,"동행 매칭; 긴급 SOS; 코스 추천","쇼핑; 마일리지",건당 결제,4,"비상 대응과 동행이 되면 혼자도 든든할 듯",Yes
